band1,band2,sid,edf,spearman_corr,spearman_corr_p,plv,plv_p,plv_z,granger_f,granger_f_null
gamma,beta,sub-001,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-001/eeg/sub-001_task-sleep_run-1_eeg.edf,0.863603287666706,0.0,0.7461734083647639,0.0004997501249375312,49.451509278665945,2.351844878729023,1.083677959681394
gamma,beta,sub-002,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-002/eeg/sub-002_task-sleep_run-1_eeg.edf,0.5591620731634819,0.0,0.5132827793866613,0.0004997501249375312,68.48236793822204,1.934743459233939,1.0776174654310533
gamma,beta,sub-003,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-003/eeg/sub-003_task-sleep_run-1_eeg.edf,0.5557741171366334,0.0,0.4824565991143386,0.0004997501249375312,60.59206381401446,1.6397514450593451,1.0616090254131054
gamma,beta,sub-004,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-004/eeg/sub-004_task-sleep_run-1_eeg.edf,0.4367146844464464,0.0,0.37773302347360643,0.0004997501249375312,44.971642074074076,1.8765201263250701,1.0888274182229958
gamma,beta,sub-005,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-005/eeg/sub-005_task-sleep_run-1_eeg.edf,0.6592133816544401,0.0,0.5747605837378158,0.0004997501249375312,83.53038848812815,1.745197928954227,1.0623239208155124
gamma,beta,sub-006,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-006/eeg/sub-006_task-sleep_run-1_eeg.edf,0.5157920363863966,0.0,0.4633940697051762,0.0004997501249375312,53.91078389184552,1.8917279200146035,1.0806737031545433
gamma,beta,sub-007,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-007/eeg/sub-007_task-sleep_run-1_eeg.edf,0.5106981894884861,0.0,0.43352355954452637,0.0004997501249375312,39.494321602630784,1.5496749695270011,1.097818863284721
gamma,beta,sub-008,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-008/eeg/sub-008_task-sleep_run-1_eeg.edf,0.5937798747705635,0.0,0.5230608093506528,0.0004997501249375312,69.73317269498548,1.818334830345171,1.0796973174108773
gamma,beta,sub-009,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-009/eeg/sub-009_task-sleep_run-1_eeg.edf,0.5476440700743349,0.0,0.4812227367127969,0.0004997501249375312,71.79115096270306,1.7257084246453471,1.067094938126643
gamma,beta,sub-010,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-010/eeg/sub-010_task-sleep_run-1_eeg.edf,0.6135696235831127,0.0,0.5495641274091464,0.0004997501249375312,57.34016709268494,1.6211420281454267,1.1003419698355197
gamma,beta,sub-012,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-012/eeg/sub-012_task-sleep_run-1_eeg.edf,0.688176718284054,4.2604572163249037e-200,0.6273964705478988,0.0004997501249375312,22.3045242400972,1.658819508971376,1.0808974095084634
gamma,beta,sub-013,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-013/eeg/sub-013_task-sleep_run-1_eeg.edf,0.7484655816856899,1.9855383172079495e-218,0.643988659179148,0.0004997501249375312,20.639267102869773,2.7936929482051274,1.0629578072819048
gamma,beta,sub-018,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-018/eeg/sub-018_task-sleep_run-1_eeg.edf,0.6788026760493316,2.5594072007607504e-189,0.5881125181741141,0.0004997501249375312,16.594831115938256,2.9587959197664038,1.0473870416187883
gamma,beta,sub-019,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-019/eeg/sub-019_task-sleep_run-1_eeg.edf,0.7396311658239976,1.5388852295605663e-290,0.6866322455664231,0.0004997501249375312,26.941684598087264,1.8532184330822903,1.0614761544463591
gamma,beta,sub-020,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-020/eeg/sub-020_task-sleep_run-1_eeg.edf,0.5231758604473599,2.6436729081096385e-122,0.4443328032739456,0.0004997501249375312,17.702912387182423,1.8104041831096835,1.0452808577349741
gamma,beta,sub-028,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-028/eeg/sub-028_task-sleep_run-1_eeg.edf,0.49517250611112196,1.208917206831435e-73,0.495312318807348,0.0004997501249375312,16.616902147046268,2.50263502890972,1.0370619347401666
gamma,beta,sub-034,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-034/eeg/sub-034_task-sleep_run-1_eeg.edf,0.7462740296976896,9.72154932561887e-299,0.6918304336230823,0.0004997501249375312,24.079948893730894,1.756123327500844,1.056904255087914
gamma,beta,sub-038,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-038/eeg/sub-038_task-sleep_run-1_eeg.edf,0.12344987190586322,1.8250009974534634e-25,0.10272478969953384,0.0004997501249375312,6.236788136962608,1.432350172690351,1.0552062079676319
gamma,beta,sub-038,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-038/eeg/sub-038_task-sleep_run-2_eeg.edf,0.130041818839627,3.593818832796982e-29,0.09720450988349116,0.0004997501249375312,5.720825281803195,1.3803542406207876,1.0604560881969431
gamma,beta,sub-039,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-039/eeg/sub-039_task-sleep_run-1_eeg.edf,0.18644256314373842,1.4189784784603907e-14,0.16638905067475662,0.0004997501249375312,6.220083774339441,1.142844061560711,1.0651492533588698
gamma,beta,sub-039,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-039/eeg/sub-039_task-sleep_run-2_eeg.edf,0.11240694103182587,3.902123006902795e-05,0.08795253951618354,0.062468765617191405,1.710608220816412,1.6263862976643115,1.0556211469065473
gamma,beta,sub-039,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-039/eeg/sub-039_task-sleep_run-3_eeg.edf,0.14228058481575262,5.992853873777972e-09,0.11752323257017512,0.0009995002498750624,3.7117615774416532,1.4119650040291547,1.0467226794336266
gamma,beta,sub-040,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-040/eeg/sub-040_task-sleep_run-1_eeg.edf,0.1677524591506675,1.1340805737679056e-49,0.13340043039618923,0.0004997501249375312,9.890533838730315,1.0975787167838496,1.0535846614812
gamma,beta,sub-040,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-040/eeg/sub-040_task-sleep_run-2_eeg.edf,0.3135387436603466,2.9598391842869706e-176,0.2687323562236349,0.0004997501249375312,21.218330165370574,1.6130310017081286,1.079625452058482
gamma,beta,sub-041,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-041/eeg/sub-041_task-sleep_run-1_eeg.edf,0.10891488421623352,1.0420404662213026e-06,0.05740724928248899,0.20039980009995004,0.8653945903007662,1.4970758950089005,1.053646962533723
gamma,beta,sub-041,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-041/eeg/sub-041_task-sleep_run-2_eeg.edf,0.37959104611412803,6.249505854976853e-76,0.35845407090517983,0.0004997501249375312,13.220544416923564,1.6563351220613947,1.0358227798437611
gamma,beta,sub-041,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-041/eeg/sub-041_task-sleep_run-3_eeg.edf,0.17874090491219152,4.1204924918848545e-13,0.13152700743801066,0.0014992503748125937,3.9754049680658197,1.3406749981251427,1.0540129044650313
