band1,band2,n_subjects,spearman_corr,spearman_p_value,plv,plv_z,plv_p_value,granger_f,granger_p_value,spearman_p_value_fdr,plv_p_value_fdr,granger_p_value_fdr
alpha,beta,32,,,,,,1.9048905226628245,8.410290063167842e-18,,,2.1025725157919605e-17
alpha,delta,32,0.0725868480642625,0.013008320421968313,0.14041308640842454,9.676338163913941,3.8794257537872764e-10,1.579257990339093,3.624846313399758e-15,0.015009600486886515,4.476260485139165e-10,5.178351876285369e-15
alpha,gamma,32,,,,,,1.5145906521599115,1.305170645770383e-16,,,2.0607957564795523e-16
alpha,sigma,32,,,,,,1.7576207677528566,1.926533841362037e-20,,,1.1559203048172223e-19
alpha,theta,32,0.7292669131220615,1.0252370601545963e-25,0.6516280568509529,47.39221980081629,1.547498685708948e-21,1.760457103127095,1.2828586323772993e-20,1.5378555902318944e-24,2.3212480285634222e-20,1.1559203048172223e-19
beta,alpha,32,0.5854214269603466,3.1368951382937326e-17,0.5240035928522563,37.05800249910385,1.9300538691465794e-19,1.8524644715687968,3.1450251507314818e-21,7.842237845734331e-17,4.825134672866449e-19,4.717537726097223e-20
beta,delta,32,0.04571531141273281,0.08431659668350307,0.12955653180802856,8.810749226812455,1.3111739191154575e-10,1.5677951584215433,4.323793024687345e-16,0.08431659668350307,1.638967398894322e-10,6.485689537031018e-16
beta,gamma,32,,,,,,1.5261622496311396,3.8787384770378695e-17,,,7.119975123942883e-17
beta,sigma,32,0.6467315512900706,9.716543186964746e-18,0.5807536373757878,40.73708476646261,1.0829983772783733e-19,1.8376314233065272,1.7766996341420954e-20,2.914962956089424e-17,3.24899513183512e-19,1.1559203048172223e-19
beta,theta,32,0.5220048300451487,5.428663456911677e-18,0.4633922556200559,34.00630009769568,9.38889435775543e-20,1.8847772700983156,7.17317566040995e-23,2.035748796341879e-17,3.24899513183512e-19,2.151952698122985e-21
delta,alpha,32,,,,,,1.5671912352499207,1.3777277099753641e-12,,,1.589685819202343e-12
delta,beta,32,,,,,,1.6222755398804805,1.287204228425077e-14,,,1.6789620370761873e-14
delta,gamma,32,,,,,,1.6814464133319122,1.4735485250378438e-09,,,1.5243605431425971e-09
delta,sigma,32,,,,,,1.577788802177612,9.14515047727418e-15,,,1.2470659741737519e-14
delta,theta,32,,,,,,1.5941970872263926,9.125310659669512e-14,,,1.0950372791603414e-13
gamma,alpha,32,0.13195659091898326,2.5962572354486877e-11,0.1135944778886892,6.4008191889080175,1.6185024588661837e-11,1.4176021455968155,6.210218448329835e-14,5.563408361675759e-11,3.0346921103740944e-11,7.762773060412293e-14
gamma,beta,32,0.13972432632582601,1.4288681325838018e-10,0.12110907597600623,6.893225767532213,2.5450643574175795e-12,1.416077838562431,2.2256681792848964e-10,2.1433021988757028e-10,5.453709337323385e-12,2.384644477805246e-10
gamma,delta,32,0.09690037145247363,6.710474269711395e-05,0.078363580837119,4.200387697590981,7.702114908890603e-07,2.1778062539952012,5.4842814822540984e-05,8.388092837139243e-05,7.702114908890603e-07,5.4842814822540984e-05
gamma,sigma,32,0.13041611303514072,6.883142640870266e-11,0.11424436534321827,6.569528017533315,2.508861041459712e-11,1.4071296248658898,7.246844748344866e-17,1.1471904401450443e-10,4.1814350690995205e-11,1.2078074580574776e-16
gamma,theta,32,0.1316483670818725,5.070376036485095e-11,0.10663408166248124,6.087769718688679,8.006416767821523e-11,1.4254191126822116,1.239611284440024e-11,9.506955068409554e-11,1.091784104702935e-10,1.3773458716000265e-11
sigma,alpha,32,0.7075016634884359,3.9591169168823865e-21,0.6341231462816366,45.01233943261997,7.850497688392717e-21,1.8163506770515507,4.1923293039469057e-20,2.96933768766179e-20,5.887873266294538e-20,2.0961646519734527e-19
sigma,beta,32,,,,,,1.9047177641371968,4.5017173742300674e-18,,,1.2277411020627457e-17
sigma,delta,32,0.058990354859167995,0.033242835684807515,0.13373828858492703,9.099031611674553,4.2140802389602913e-10,1.613742028208795,7.510869602647808e-19,0.03561732394800805,4.5150859703145976e-10,2.816576100992928e-18
sigma,gamma,32,,,,,,1.5065064798297652,1.7333252220396863e-18,,,5.777750740132288e-18
sigma,theta,32,0.5438739857210079,1.0200699098330176e-18,0.4806906793441507,35.125447239200696,7.20085871693185e-20,1.9429839584082207,8.65658818753543e-20,5.1003495491650875e-18,3.24899513183512e-19,3.709966366086613e-19
theta,alpha,32,,,,,,1.5144760337647727,1.401179386373628e-17,,,3.002527256514917e-17
theta,beta,32,,,,,,1.676171771777109,1.1373881320488037e-17,,,2.624741843189547e-17
theta,delta,32,0.14112748814942144,4.889167442444042e-06,0.16227288811513424,11.618264508784435,5.156902057149457e-11,1.5653890130978338,1.5337083485368365e-17,6.6670465124236935e-06,7.735353085724186e-11,3.067416697073673e-17
theta,gamma,32,,,,,,1.4920617853390274,4.0346525702343006e-17,,,7.119975123942883e-17
theta,sigma,32,,,,,,1.6853999792458962,2.906384103158265e-18,,,8.719152309474796e-18
