band1,band2,n_subjects,spearman_corr,spearman_p_value,plv,plv_z,plv_p_value,granger_f,granger_p_value,spearman_p_value_fdr,plv_p_value_fdr,granger_p_value_fdr
alpha,beta,7,,,,,,1.7603028192682584,2.531887336383873e-06,,,7.169214065854922e-06
alpha,delta,7,0.08597895109139984,0.13959220316038934,0.18004292286824766,15.89819577402842,0.0005266492376931243,1.7216117911243853,1.257652387530022e-06,,0.000658938066375135,7.1415174147875365e-06
alpha,gamma,7,,,,,,1.8559218917782923,4.835702836836063e-05,,,6.0446285460450786e-05
alpha,sigma,7,,,,,,1.6456119100390336,1.7736834899834036e-05,,,3.547366979966807e-05
alpha,theta,7,0.7789802345910909,7.334689511424453e-08,0.7013038247519514,58.034873353993035,1.1060581861836783e-07,1.6870697682897808,0.00013270581277574677,3.667344755712226e-07,8.295436396377587e-07,0.0001592469753308961
beta,alpha,7,0.700595646939244,4.969572196852167e-07,0.6491574760511497,53.29767551115611,5.400705418943425e-07,1.7857408444240128,1.7646717009424568e-06,1.2423930492130417e-06,2.2893330846912183e-06,7.1415174147875365e-06
beta,delta,7,0.08288592452187159,0.13394136388033576,0.16714375405002094,14.059903588121996,0.0010180667454106928,1.6038138603869299,4.2021549631329514e-05,,0.0010180667454106928,5.581551363686712e-05
beta,gamma,7,,,,,,1.764053899638897,1.0311797151978231e-05,,,2.379645496610361e-05
beta,sigma,7,0.7575040020555471,2.560428747465981e-07,0.7021844583347779,57.18671098188461,6.104888225843249e-07,1.8795787699158262,1.299984596670183e-06,8.53476249155327e-07,2.2893330846912183e-06,7.1415174147875365e-06
beta,theta,7,0.5718406079449492,1.8773540675168368e-06,0.5240181435382006,42.80913835247471,1.9000867184706622e-06,1.8206901416051988,4.27918937882648e-05,3.128923445861395e-06,4.54868792482736e-06,5.581551363686712e-05
delta,alpha,7,,,,,,1.6273819686134616,2.159063829825325e-05,,,4.048244680922484e-05
delta,beta,7,,,,,,1.7231133457213057,2.0217878382908758e-06,,,7.1415174147875365e-06
delta,gamma,7,,,,,,1.5881243604166115,2.142455224436261e-06,,,7.1415174147875365e-06
delta,sigma,7,,,,,,1.710727793697453,6.428283506916954e-07,,,7.1415174147875365e-06
delta,theta,7,,,,,,1.4679071362040597,2.357773869955686e-05,,,4.160777417568858e-05
gamma,alpha,7,0.49596007920145313,1.2197006784871093e-05,0.43906691169934176,37.49377403369326,5.407785178603834e-06,1.6387492863356141,0.0005702149580205295,1.355222976096788e-05,9.012975297673058e-06,0.0006109445978791388
gamma,beta,7,0.5940581354847253,2.4534246814767255e-06,0.5188775549390718,43.497035740411256,2.1227210315861012e-06,1.5658052041774506,0.0002784428196734994,3.504892402109608e-06,4.54868792482736e-06,0.00032128017654634543
gamma,delta,7,-0.0104251045725995,0.7435444491026326,0.09373524920825657,7.99152607799386,0.0008667795317412407,1.604590170184872,2.9943046047093196e-05,,0.0010001302289322008,4.520343913382725e-05
gamma,sigma,7,0.5186558161850544,4.362926848199526e-06,0.45366712042724344,39.14919883950155,3.4562669012183947e-06,1.66721133424996,0.0007303631037816212,5.453658560249408e-06,6.48050043978449e-06,0.0007555480383947806
gamma,theta,7,0.3819196064350701,0.00013473672162884155,0.3503079008704596,31.448971781935718,5.737158314900778e-05,1.631533713277888,0.0013750415614312307,0.00013473672162884155,8.605737472351167e-05,0.0013750415614312307
sigma,alpha,7,0.7814270349561178,6.418930155045586e-08,0.7212136523194967,59.03274351330764,9.680226238345038e-08,1.6443593082593309,4.248498549614463e-06,3.667344755712226e-07,8.295436396377587e-07,1.0621246374036156e-05
sigma,beta,7,,,,,,1.731178645043533,2.2211611162615974e-07,,,6.663483348784792e-06
sigma,delta,7,0.10858942154770022,0.08138315862793681,0.18486708669715718,16.217695559285087,0.0009672755198630088,1.6272372094613998,1.1007227748867257e-06,,0.0010180667454106928,7.1415174147875365e-06
sigma,gamma,7,,,,,,1.756969165363382,3.0135626089218164e-05,,,4.520343913382725e-05
sigma,theta,7,0.5848473932769805,1.0475808852317139e-06,0.5269882934730061,44.855440646138,9.040652572258591e-07,1.7744781880505585,1.9148016421170202e-06,2.0951617704634277e-06,2.7121957716775777e-06,7.1415174147875365e-06
theta,alpha,7,,,,,,1.522212944485313,3.7784275440678345e-05,,,5.397753634382621e-05
theta,beta,7,,,,,,1.7429769346199802,1.4524187411443991e-05,,,3.112325873880855e-05
theta,delta,7,0.07518919170304242,0.1809364333847719,0.14677187157304292,12.688855524409835,0.000527150453100108,1.7046719359061142,2.6287118241468044e-06,,0.000658938066375135,7.169214065854922e-06
theta,gamma,7,,,,,,1.8217342361293838,0.00048190517960750327,,,0.0005354501995638925
theta,sigma,7,,,,,,1.6596385361085713,2.5227987558964575e-05,,,4.204664593160762e-05
