band1,band2,p,q,mean,n_subjects
delta,theta,1.9468981390167146e-09,2.920347208525072e-08,57.680020909563055,7
alpha,delta,1.3062588906330713e-07,9.796941679748035e-07,50.95977268948535,7
delta,sigma,2.5896359085603493e-07,9.876328475083893e-07,40.315249158114604,7
alpha,sigma,2.633687593355705e-07,9.876328475083893e-07,48.832657406323676,7
beta,gamma,3.3644276292233823e-07,1.0093282887670147e-06,37.027678242613256,7
alpha,theta,2.0784022285421167e-06,5.196005571355291e-06,40.76615114667182,7
beta,delta,3.0465848187522563e-06,6.5283960401834064e-06,39.84023387617392,7
beta,sigma,1.1035009116544115e-05,2.0690642093520216e-05,38.72272548809078,7
alpha,beta,4.270429932728487e-05,7.117383221214146e-05,30.704269567313265,7
delta,gamma,0.0001058691005596139,0.00015880365083942085,20.57102714395067,7
beta,theta,0.0006520574808815158,0.0008891692921111579,17.538219438604138,7
gamma,theta,0.0007483535320581446,0.0009354419150726807,9.326662593328873,7
sigma,theta,0.0008680725036012192,0.0010016221195398682,17.418873884864954,7
alpha,gamma,0.002210825087591039,0.0023687411652761133,7.877625672294997,7
gamma,sigma,0.0031144220247939936,0.0031144220247939936,8.88278822524195,7
