SID,EDFPath,AnnotPath,run,lab,sex,age,age_category,genotype2,ChannelFS,DurationHours
sub-001,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-001/eeg/sub-001_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-001/eeg/sub-001_task-sleep_run-1_events.tsv,1,lab_1,Male,17 wks,adult,WT,EEG1=128|EMG=128,72.03444444444445
sub-002,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-002/eeg/sub-002_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-002/eeg/sub-002_task-sleep_run-1_events.tsv,1,lab_1,Male,18 wks,adult,WT,EEG1=128|EMG=128,72.05
sub-003,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-003/eeg/sub-003_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-003/eeg/sub-003_task-sleep_run-1_events.tsv,1,lab_1,Male,18 wks,adult,WT,EEG1=128|EMG=128,72.04
sub-004,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-004/eeg/sub-004_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-004/eeg/sub-004_task-sleep_run-1_events.tsv,1,lab_1,Male,15 wks,adult,WT,EEG1=128|EMG=128,72.00111111111111
sub-005,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-005/eeg/sub-005_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-005/eeg/sub-005_task-sleep_run-1_events.tsv,1,lab_1,Male,18 wks,adult,WT,EEG1=128|EMG=128,71.2088888888889
sub-006,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-006/eeg/sub-006_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-006/eeg/sub-006_task-sleep_run-1_events.tsv,1,lab_1,Male,17 wks,adult,WT,EEG1=128|EMG=128,72.00111111111111
sub-007,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-007/eeg/sub-007_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-007/eeg/sub-007_task-sleep_run-1_events.tsv,1,lab_1,Male,18 wks,adult,WT,EEG1=128|EMG=128,72.00111111111111
sub-008,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-008/eeg/sub-008_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-008/eeg/sub-008_task-sleep_run-1_events.tsv,1,lab_1,Male,17 wks,adult,WT,EEG1=128|EMG=128,72.00111111111111
sub-009,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-009/eeg/sub-009_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-009/eeg/sub-009_task-sleep_run-1_events.tsv,1,lab_1,Male,15 wks,adult,WT,EEG1=128|EMG=128,72.04444444444445
sub-010,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-010/eeg/sub-010_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-010/eeg/sub-010_task-sleep_run-1_events.tsv,1,lab_1,Male,15 wks,adult,WT,EEG1=128|EMG=128,72.00111111111111
sub-012,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-012/eeg/sub-012_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-012/eeg/sub-012_task-sleep_run-1_events.tsv,1,lab_4,Male,14 weeks old,adult,WT,EEG1=128|EMG=128,2.986666666666667
sub-013,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-013/eeg/sub-013_task-sleep_run-1_eeg.edf,MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-013/eeg/sub-013_task-sleep_run-1_events.tsv,1,lab_4,Male,12 weeks old,adult,WT,EEG1=128|EMG=128,2.7155555555555555
